x,m,c,b,f,V,T
9.216,2.60293202999e-10,0.302807645182,0.657734377719,0.814361496995,0,1.08427429419e-19
9.228,2.52516627512e-10,0.302807645182,0.657734377719,0.814361496995,-4.4408920985e-16,1.02043666756e-19
9.24,2.44972385783e-10,0.302807645182,0.657734377719,0.814361496995,0,9.60357690679e-20
9.252,2.37653535651e-10,0.302807645183,0.65773437772,0.814361496996,6.66133814775e-16,9.03816043017e-20
9.264,2.30553344222e-10,0.302807645183,0.65773437772,0.814361496996,0,8.50603452233e-20
9.276,2.23665279547e-10,0.302807645183,0.65773437772,0.814361496996,4.4408920985e-16,8.00523906403e-20
9.288,2.16983004033e-10,0.302807645183,0.65773437772,0.814361496996,8.881784197e-16,7.53392931359e-20
9.3,2.10500368746e-10,0.302807645183,0.65773437772,0.814361496996,0,7.09036908157e-20
9.312,2.04211408407e-10,0.302807645183,0.65773437772,0.814361496996,0,6.67292445431e-20
9.324,1.98110337559e-10,0.302807645183,0.65773437772,0.814361496996,8.881784197e-16,6.28005774294e-20
9.336,1.92191543411e-10,0.302807645183,0.65773437772,0.814361496996,4.4408920985e-16,5.91032190192e-20
9.348,1.8644958018e-10,0.302807645184,0.65773437772,0.814361496996,6.66133814775e-16,5.56235498055e-20
9.36,1.80879164193e-10,0.302807645184,0.657734377721,0.814361496996,2.22044604925e-16,5.23487520695e-20
9.372,1.75475169591e-10,0.302807645184,0.657734377721,0.814361496996,-2.22044604925e-16,4.92667626922e-20
9.384,1.7023262503e-10,0.302807645184,0.657734377721,0.814361496997,2.22044604925e-16,4.63662298032e-20
9.396,1.65146707536e-10,0.302807645184,0.657734377721,0.814361496997,2.22044604925e-16,4.36364698722e-20
9.408,1.60212737642e-10,0.302807645184,0.657734377721,0.814361496997,2.22044604925e-16,4.10674278205e-20
9.42,1.55426175179e-10,0.302807645184,0.657734377721,0.814361496997,4.4408920985e-16,3.86496405487e-20
9.432,1.50782615584e-10,0.302807645184,0.657734377721,0.814361496997,4.4408920985e-16,3.63742021874e-20
9.444,1.46277787067e-10,0.302807645184,0.657734377721,0.814361496997,0,3.42327318796e-20
9.456,1.41907545331e-10,0.302807645184,0.657734377721,0.814361496997,2.22044604925e-16,3.22173419756e-20
9.468,1.37667869387e-10,0.302807645184,0.657734377721,0.814361496997,0,3.03206092193e-20
9.48,1.33554857948e-10,0.302807645185,0.657734377721,0.814361496997,-6.66133814775e-16,2.85355470233e-20
9.492,1.29564726247e-10,0.302807645185,0.657734377721,0.814361496997,-4.4408920985e-16,2.68555804752e-20
9.504,1.25693803608e-10,0.302807645185,0.657734377721,0.814361496997,-2.22044604925e-16,2.52745218986e-20
9.516,1.21938528905e-10,0.302807645185,0.657734377722,0.814361496997,2.22044604925e-16,2.37865480435e-20
9.528,1.18295446974e-10,0.302807645185,0.657734377722,0.814361496997,6.66133814775e-16,2.23861782978e-20
9.54,1.14761205503e-10,0.302807645185,0.657734377722,0.814361496997,-1.11022302463e-15,2.10682547956e-20
9.552,1.11332552305e-10,0.302807645185,0.657734377722,0.814361496997,-2.22044604925e-16,1.98279231968e-20
9.564,1.0800633323e-10,0.302807645185,0.657734377722,0.814361496997,6.66133814775e-16,1.86606151365e-20
9.576,1.04779488263e-10,0.302807645185,0.657734377722,0.814361496997,6.66133814775e-16,1.7562031505e-20
9.588,1.01649048438e-10,0.302807645185,0.657734377722,0.814361496997,4.4408920985e-16,1.65281262098e-20
9.6,9.8612133168e-11,0.302807645185,0.657734377722,0.814361496997,-2.22044604925e-16,1.55550909276e-20
